continent,location,population,highest_infected_count,highest_death_count,pct_population_infected,pct_infected_dead
"North America",Curacao,"164100,00",0,0,0,NULL
Europe,"Faeroe Islands","48865,00",0,0,0,NULL
"South America","Falkland Islands","3483,00",0,0,0,NULL
Europe,Gibraltar,"33691,00",0,0,0,NULL
"North America",Greenland,"56772,00",0,0,0,NULL
Europe,Guernsey,"67052,00",0,0,0,NULL
Asia,"Hong Kong","7496988,00",0,0,0,NULL
Europe,"Isle of Man","85032,00",0,0,0,NULL
Europe,Jersey,"101073,00",0,0,0,NULL
Asia,Macao,"649342,00",0,0,0,NULL
"North America",Montserrat,"4999,00",0,0,0,NULL
Oceania,Nauru,"10834,00",0,0,0,NULL
Asia,"Northern Cyprus",,0,0,NULL,NULL
Africa,"Saint Helena","6071,00",0,0,0,NULL
Oceania,Tonga,"105697,00",0,0,0,NULL
"North America","Turks and Caicos Islands","38718,00",0,0,0,NULL
